99900297,HC ADMINISTRATIVE CLOSED ENCOUNTER,I.C.
99900293,HC SP PRIVATE ROOM DIFFERENTIAL,$300.00 
99900003,HC LEFT WITHOUT BEING SEEN,I.C.
99900001,HC DAILY SUITE CHARGE,$800.00 
99000017,HC NUTRITION MAINTENANCE PROGRAM (30MN),$60.00 
99000016,HC MASSAGE THERAPY 1/> AREAS (75MN),$145.00 
99000015,HC MASSAGE THERAPY 1/> AREAS (60MN),$120.00 
99000014,HC ACUPUNCTURE 1+NEEDLES W/O ELECTRICAL STIM,$90.00 
99000013,HC INTEGRATIVE HEALTH COACHING (30 MIN),$60.00 
99000012,HC INTEGRATIVE HEALTH COACHING (60 MIN),$120.00 
99000011,HC BWH PAVILION SUITE,$800.00 
99000008,HC BWH REG PRIVATE,$455.00 
99000007,HC BWH PAVILION PRIVATE,$273.00 
99000004,HC BWH PAVILION REGULAR,$425.00 
98301796,HCPR ALCOHOL/SUBSTANCE SCREEN & INTERVEN >30 MIN,$262.00 
98301795,HCPR ALCOHOL/SUBSTANCE SCREEN & INTERVEN 15-30 MIN,$131.00 
98301792,HCPR CARE MGMT SERVICES BEHAVIORAL HLTH COND 20 MINS,$128.00 
98301772,HCPR 1ST/SBSQ PSYCH COLLAB CARE MGMT EA ADDL 30 MINS,$170.00 
98301771,HCPR SBSQ PSYCHIATRIC COLLAB CARE MGMT 1ST 60 MINS,$320.00 
98301770,HCPR 1ST PSYCHIATRIC COLLAB CARE MGMT 1ST 70 MINS,$353.00 
98301689,HCPR COLLATERAL CONTACT (15 MIN),$105.00 
98301672,HCPR DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,$317.00 
98301664,HCPR REPAIR OF RUPTURED UTERUS,"$1,096.00 "
98301658,HCPR ENDOSCOPIC SLEEVE GASTROPLASTY,"$4,801.00 "
98301638,HCPR DERMAL FILLER INJECTIONS,$287.00 
98301420,HCPR STRAPPING OF ELBOW OR WRIST,$77.00 
98301403,HCPR TEAM CONFERENCE NON-FACE-TO-FACE PHYSICIAN,$222.00 
98301345,HCPR PURE TONE HEARING TEST  AIR,$52.00 
98301337,HCPR  INTERPJ/EXPLNAJ RESULTS PSYCHIATRIC EXAM FAMILY,$298.00 
98301336,HCPR REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT,$55.00 
98301298,HCPR ARTHROSCOPY SHOULDER SURGICAL BICEPS TENODESIS,"$3,698.00 "
98301297,HCPR CAPSULOTOMY MT-P JT FOOT EACH,"$1,608.00 "
98301296,HCPR INCISION EXTEN FOOT/TOE TENDON,"$1,091.00 "
98301295,HCPR INCISION FLEX FOOT TENDON(S),"$1,162.00 "
98301294,HCPR AMPUTATE THIGH THRU FEMUR,"$3,195.00 "
98301293,HCPR REVISE KNEE JOINT REPLACE ALL PARTS,"$7,088.00 "
98301292,HCPR ARTHRP KNE CONDYLE&PLATU MEDIAL&LAT COMPARTMENTS,"$6,120.00 "
98301291,HCPR PERCUT RX PROX/MID FING SHFT FX,"$1,924.00 "
98301290,HCPR PRQ SKEL FIXATION CARP/MTCRPL FX DISLOCATE THUMB,"$1,960.00 "
98301289,HCPR FIX COLLAT LIG MC-P JT I-P JT,"$2,686.00 "
98301288,HCPR TENOLYSIS EXT TENDON HAND/FINGER EA,"$2,947.00 "
98301287,HCPR INCIS DEEP FINGR/HAND BONE LESN,"$2,204.00 "
98301246,HCPR EVAL SELF-ASSESS DEPRESSION,$117.00 
98301245,HCPR APPL INTERDENTAL FIXATION DEVICE NON-FX/DISLC,"$2,845.00 "
98301244,HCPR EXCISION OF FACIAL BONE(S),"$2,083.00 "
98301243,HCPR BIOPSY GLAND SALIVARY INCISIONAL,$925.00 
98301242,HCPR EXCISION OF BONE LOWER JAW,"$3,097.00 "
98300858,HCPR DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,"$1,173.00 "
98300851,HCPR LUNG SCREENING COUNSEL VISIT FOR LOW DOSE CT,$105.00 
98300843,HCPR APPLICATION TOPICAL FLUORIDE VARNISH BY PHS/QHP,$87.00 
98300841,HCPR SEQUESTRECTOMY CLAVICLE,"$2,283.00 "
98300840,HCPR SIALOT SUBMNDBLR SUBLNGL/PRTD UNCOMP INTRAORAL,$679.00 
98300839,HCPR DRAINAGE ABSCESS PARTOID SIMPLE,$631.00 
98300838,HCPR CLOSURE LACERATION VESTIBULE MOUTH 2.5 CM/<,$703.00 
98300837,HCPR EXC LES MUCOSA & SBMSCL VESTIBULE SMPL RPR,$831.00 
98300836,HCPR EXC LES MUCOSA & SBMC VESTIBULE MOUTH W/O RPR,$540.00 
98300835,HCPR DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL,$563.00 
98300834,HCPR ORTHOPANTOGRAM,$45.00 
98300833,HCPR RADIOLOGIC EXAM TEETH COMPLETE FULL MOUTH,$49.00 
98300832,HCPR RADIOLOGIC EXAM TEETH PRTL EXAM < FULL MOUTH,$32.00 
98300831,HCPR RADIOLOGIC EXAMINATION TEETH 1 VIEW,$24.00 
98300825,HCPR E/M ADULT HM VISIT EST HIGH COMP 60 MIN,$704.00 
98300824,HCPR E/M ADULT HM VISIT EST MOD COMP 40 MIN,$509.00 
98300823,HCPR E/M ADULT HM VISIT EST LOW COMP25 MIN,$333.00 
98300822,HCPR E/M ADULT HM VISIT EST LT 15 MIN,$219.00 
98300821,HCPR ONLY E/M ADULT HOME VISIT - NEW MOD 60 MIN,$722.00 
98300820,HCPR ONLY E/M ADULT HOME VISIT - NEW MOD 45 MIN,$513.00 
98300819,HCPR ONLY E/M ADULT HOME VISIT - NEW LOW 30 MIN,$313.00 
98300818,HCPR ONLY E/M ADULT HOME VISIT - NEW BRIEF 20 MIN,$217.00 
98300817,HCPR SUBSEQUENT HOSPITAL CARE HIGH,$411.00 
98300816,HCPR HOSPITAL DISCHARGE DAY 30 MIN OR LESS,$289.00 
98300815,HCPR SUBSEQUENT HOSPITAL CARE MOD,$285.00 
